ACCOUNTING_PERIOD,report_mapping_id,FAC_ROLLUP,ind01,ind02,ind03,ind04,ind05,ind06,ind07,ind08,ind09,ind10,ind11,ind12,ind13,ind14,ind15,ind16,ind17,ind18,ind19,ind20,ind21,ind22,ind23,ind24,ind25,ind26,ind27,ind28,ind29,ind30,ind31,ind32,ind33,ind34,ind35,ind36,ind37,ind38,ind39,ind40,ind41,ind42,ind43,ind44,ind45,ind46,ind47,ind48,ind49,ind50,ind51,ind52,ind53,ind54,ind55,ind56,ind57,ind58,ind59,ind60,ind61,ind62,ind63,ind64,ind65,ind66,ind67,ind68,ind69,ind70,ind71,ind72,ind73,ind74
2022/2023YE,4,768,13575268,13453915,0.0088833141,0.0079751454,0.0089373947,0.1076370647,2.6910675326,5896996,,,46.418322773,0.5193431216,0.1946246636,0.0126417611,0.0457223677,0.0139212374,0.0733301486,0.0574468958,0.0434559825,,0.0049767763,,0.0345370455,,408.1994043,83.248628312,101.1123559,49.492367421,0.1030727605,,0.125910552,0.0440594944,0.0807455599,,75.687692308,5.6933333333,69.994358974,0.0250692793,0.9247786112,0.3925492301,0.0467580329,0.0298475949,0.0862369528,0.0658187378,3780,,,,2599,,6379,,,,27.61369863,10079,,4454,14533,,,,,,,,,,,,,,,
2022/2023YE,4,771,385851924,377177640,0.0223167078,0.0235998135,0.0240274721,0.0502006516,1.4495751971,40322109,0.0129437476,-0.172949321,20.267675423,0.5243609996,0.1090357798,0.068359017,0.0386757248,0.0745505532,0.0670766762,0.0489953353,0.0201290806,,0.0043429054,0.0008191177,0.0436548105,,562.99234553,30.167060841,116.4414339,52.06406374,0.1204818926,,0.0885467774,0.0098343964,0.0705167463,,2007.7282051,254.69948718,1734.0810256,0.0000987591,0.8637030756,0.7230481841,0.0626408335,0.0421564089,0.0529552673,0.0452189339,127794,7948,8959,11526,14828,,171055,4816,24194,29010,194.61917808,71036,28113,139674,238823,,,,,,,,,,,,,,,
2022/2023YE,4,777,269120811,271712965,-0.009550193,-0.00978447,-0.009800599,0.1181935301,0.8970413528,-10094867,,-0.092313704,32.274754872,0.6156234182,0.0687155085,0.0494458257,0.0665362791,0.0171234172,0.0812131478,0.0344205353,0.0375685807,,0.0036230172,0.0014354583,0.0242948121,,600.23193182,44.453289273,94.667351777,52.494818279,0.1213967438,,0.0985924893,0.018623216,0.0900871471,,1699.4938462,207.98615385,1490.1923077,0.0408220211,0.87684478,0.6855568533,0.0559187378,0.0276315053,0.0324055359,0.0294001603,93369,4643,9883,12434,,,120329,3240,18103,21343,222.16712329,81091,1096,96232,178419,,,,,,,,,,,,,,,
2022/2023YE,4,781,123930629,121087898,0.0227212805,0.025025331,0.023216194,0.1483923817,1.0129701855,518670,0.2076395641,-0.00002505,22.444095631,0.7338637241,0.0578760282,0.0137392689,0.0457296963,0.0092265081,0.0373890236,0.0050862978,0.0279529603,,0.0111582487,0.004316754,0.05366149,,380.69912037,48.851678241,77.647472161,52.201227306,0.1255119749,,0.1127616612,0.0113722124,0.0427617544,,915.73794872,105.31076923,796.64410256,0.0636924242,0.8699476785,0.6747046795,0.0762524196,0.02680642,0.0498505978,0.0313889914,,,13014,15629,57757,,86400,,,,,,,66054,66054,,,,,,,,,,,,,,,
2022/2023YE,4,784,22208201,22497646,-0.012797386,-0.012920273,-0.012920273,0.1033730495,0.8979936355,-533616,0.0446380924,-0.200355935,72.020876451,0.5729567841,0.0797582705,0.0204422142,0.0632737083,0.0151569689,0.0573198833,0.0223669161,0.0354504161,,0.0049798032,,0.1282950353,,692.93101373,69.274018782,100.68639763,51.710834913,0.1939668568,,0.1234671437,0.0388731219,0.0615506999,,133.64205128,15.581538462,118.06051282,,0.8834084159,0.705568417,0.0407745814,0.0431082708,0.0398794287,0.04207234,8306,,,,,,8306,,340,340,59.320547945,21652,,4000,25652,,,,,,,,,,,,,,,
2022/2023YE,4,788,52186312,51925118,0.0049693363,0.0047696009,0.0049891618,0.107675802,2.3137270465,12198891,,,33.056490721,0.531128017,0.1087585055,0.0481259712,0.0631507238,0.076740067,0.0877989445,0.02162648,0.0193178736,,-0.002144861,0.0003247528,0.0451735251,,503.21364098,71.820602505,111.43050154,54.589570926,0.1116309235,,0.1028019463,0.0133775503,0.0946373354,,264.1825641,101.85230769,162.33025641,,0.6144624153,0.5648473747,0.0585071993,0.0259030509,0.039490072,0.0325537417,12559,718,,,4577,,17854,181,1579,1760,56.838356164,20746,14079,7926,42751,,,,,,,,,,,,,,,
2022/2023YE,4,790,38388187,38915310,-0.013637291,-0.013713347,-0.013713347,0.1465340961,0.7434673966,-2373267,,-0.096484523,7.2423371245,0.8169857153,0.0197021809,0.0050713809,0.0739159966,0.0073211874,0.0186289238,0.0114684243,0.0197748503,,0.0070909754,,0.0200403652,,510.93413947,61.003396624,69.733429144,53.084871434,0.1193840538,,0.1381925914,0.0140442821,0.0209932926,,315.37333333,53.308205128,260.34871795,0.0214851765,0.825525466,0.689239723,0.061942778,0.0086409783,0.0036596361,0.0072458953,,,,9996,19445,,29441,,,,,,,,,,,,,,,,,,,,,,,
2022/2023YE,4,792,14468933,14848960,-0.026170314,-0.024354991,-0.024354991,0.0642854591,0.9059310617,-557905,0.0158771591,,30.23998409,0.5944944156,0.1477757346,0.0128450024,0.0452130214,0.01266591,0.0671426044,0.0289441975,0.0375185947,,0.0074436455,,0.0459568739,,412.44887816,52.89889236,103.31155782,53.811156809,0.1601985658,,0.1099054119,0.0302558037,0.0718551319,,87.41025641,11.125128205,76.281538462,0.0013670259,0.8726840716,0.7590105783,0.0445168019,0.0407349936,0.0400342988,0.0405192092,3605,,,,3437,,7042,,,,27.931506849,10195,,548,10743,,,,,,,,,,,,,,,
2022/2023YE,4,793,137042408,138091273,-0.007556173,-0.006864929,-0.006864929,0.0556706432,1.0214254867,527172,0.0009630606,,29.294355595,0.5492135254,0.1488240095,0.0414751585,0.0464814041,0.0493848122,0.0614491752,0.0313332276,0.0351285936,,0.0068130656,,0.0298970283,,628.04871652,35.795577431,112.83064541,51.593958509,0.0932052496,,0.0980306257,0.0175598765,0.0644262494,,784.85846154,119.6425641,661.62153846,0.0028802762,0.8429819781,0.7650448818,0.0665279947,0.0355756391,0.0269976473,0.0333657645,32801,3269,3999,3485,12115,,55669,2104,7123,9227,153.27945205,55947,3629,52363,111939,,,,,,,,,,,,,,,
2022/2023YE,4,800,101808330,95893038,0.0575003485,0.0534387289,0.0579050919,0.4348048652,4.6245237292,50887610,,,41.732200598,0.5466029683,0.1067072598,0.0311887846,0.0407245144,0.0389663739,0.0987325836,0.0551249095,0.0442137325,,0.0034063612,0.0001214302,0.0342110821,,730.17458973,61.910765252,115.15842379,54.859437375,0.1467044933,,0.0957940052,0.0281395014,0.1064713491,,514.55589744,129.05692308,385.43589744,0.0011093823,0.7490651635,0.7334101006,0.0622124004,0.0645139483,0.0748176646,0.0679744653,17111,1909,,,6356,,25376,501,7312,7813,128.17808219,46785,4851,10784,62420,,,,,,,,,,,,,,,
