Facility ID,Facility,Facility Type,Region,Average Beds Staffed and in Operation,Acute Patient Days,ICU Patient Days,Rehab Patient Days,MH Patient Days,Chronic Patient Days,ELDCAP Patient Days,Total Patient Days (incl. ER),Visits Face-to-Face (Contracted-Out),Visits Face-to-Face (In-House) (incl. ER Visits),Visits Telephone (In-House),ER Visits,Day Surgery or Surgical Cases,Separations
662,GERALDTON DISTRICT HOSPITAL,Small Hospital,,49,"3,460",,,,128,"9,403","12,991",,"8,358",,"8,358",,244
663,GODERICH ALEXANDRA MARINE & GEN,Small Hospital,,44,"7,254","1,101",,"4,403",,,"12,758",,"32,331",,"16,833","1,583","1,830"
665,GUELPH GENERAL,Large Community Hospital,,226,"73,317","7,303",,,,,"80,620",,"124,860","4,274","58,066","16,592","14,536"
666,GUELPH ST JOSEPH'S HEALTH CENTRE,Small Hospital,,415,,,"13,663",,"24,195",,"37,858",,137,,,,"1,072"
674,HAMILTON ST JOSEPH'S,Teaching Hospital,,872,"149,711","13,591","4,585","129,144","16,608",,"313,639",547,"518,672","55,321","145,880","34,164","28,246"
676,HANOVER & DISTRICT,Small Hospital,,28,"8,946",,,,,,"8,946",,"32,726",,"20,627","1,662","1,302"
680,TORONTO DON MILLS SURGICAL UNIT,Other Hospital,,,,,,,,,,,,,,"1,247",
681,HEARST NOTRE DAME,Small Hospital,,44,"4,648",,,,"6,910",,"11,558",,"15,859",,"11,574",718,610
682,HORNEPAYNE COMMUNITY,Small Hospital,,20,"1,261",,,,,"4,511","5,772",,"2,883",,"2,883",,92
684,INGERSOLL ALEXANDRA,Small Hospital,,26,"7,183","1,235",,,"1,000",,"9,418",,"23,231","1,508","16,694",,744
685,IROQUOIS FALLS ANSON GENERAL,Small Hospital,,34,"3,241",,,,"2,480",,"5,721",,"1,391",,907,10,411
686,WAWA LADY DUNN HC,Small Hospital,,28,"2,794",,,,,"5,840","8,634",,"7,407",,"6,452",103,210
687,KAPUSKASING SENSENBRENNER,Small Hospital,,68,"7,824",,,,"7,490",,"15,314",,"21,229",,"2,095",,"1,350"
695,KINGSTON PROVIDENCE CARE HOSPITAL,Chronic/Rehab Hospital,,334,,,"18,647","40,815","58,656",,"118,118",,"9,176",,,,"2,057"
699,KITCHENER ST MARY'S,Large Community Hospital,,204,"60,111","10,854",,,,,"70,965",,"126,427","3,439","63,022","23,715","9,904"
