accounting_period,report_mapping_id,fac_rollup,ind01,ind02,ind03,ind04,ind05,ind06,ind07,ind08,ind09,ind10,ind11,ind12,ind13,ind14,ind15,ind16,ind17,ind18,ind19,ind20,ind21,ind22,ind23,ind24,ind25,ind26,ind27,ind28,ind29,ind30,ind31,ind32,ind33,ind34,ind35,ind36,ind37,ind38,ind39,ind40,ind41,ind42,ind43,ind44,ind45,ind46,ind47,ind48,ind49,ind50,ind51,ind52,ind53,ind54,ind55,ind56,ind57,ind58,ind59,ind60,ind61,ind62,ind63,ind64,ind65,ind66,ind67,ind68,ind69,ind70,ind71,ind72,ind73,ind74
2022/2023YE,4,647,31575699,32679590,-0.034727057,-0.033217408,-0.033980242,0.1501081575,0.9970673,-24288,0.0022568018,,41.163328805,0.5936290057,0.1032214643,0.0368605965,0.0801205325,0.0489972604,0.0392995145,0.0111468794,0.0247315725,,0.0070977037,,0.0548954704,,512.10838548,52.713224864,95.230677324,51.921796896,0.1093458272,,0.1119377988,0.0250454531,0.043539858,,197.35230769,32.212820513,164.25128205,0.0298168909,0.8322744435,0.740814281,0.0634966251,0.0524103222,0.0458804618,0.0506263355,11985,,,,,,11985,422,1194,1616,41.41369863,15116,1391,13070,29577,,,,,,,,,,,,,,,
2022/2023YE,4,648,23215863,23235007,-0.000810589,-0.001047691,-0.001047691,0.1286395584,0.2436445933,-11277067,0.0183598223,,29.991009709,0.5622065471,0.1789276409,0.0303168897,0.063330669,0.0162989655,0.0618473756,0.0086671353,0.0398345863,,0.0039062526,,0.0346639381,,397.54093375,55.062551373,90.53446127,49.268104954,0.1125072652,,0.1349374494,0.0185686159,0.0703066978,,143.84461538,19.320512821,123.06153846,0.0727835906,0.8555171713,0.6812181972,0.0639776915,0.05191382,0.0301286918,0.0427511868,9857,,,,2309,,12166,12,2548,2560,99.44109589,36296,,1182,37478,,,,,,,,,,,,,,,
2022/2023YE,4,650,34271454,36234480,-0.054556486,-0.035764869,-0.051077948,0.1155288939,1.5947164364,6762633,0.0524677961,,33.341075299,0.591573321,0.0956758646,0.0223386723,0.0575291892,0.0608518969,0.0449255374,0.019618006,0.0215850037,,0.0109145854,,0.0749879235,,398.96198516,24.233573503,101.64096474,54.102540167,0.1975962431,,0.1017891763,0.0218712123,0.0488531221,,216.36205128,37.05025641,178.84512821,0.0316962631,0.826601186,0.6527083077,0.0644898503,0.0575246799,0.056953948,0.0573310271,16821,1807,,,582,,19210,103,1724,1827,43.224657534,15777,784,13908,30469,,,,,,,,,,,,,,,
2022/2023YE,4,651,127675446,137002139,-0.072712971,-0.014086848,-0.018494266,0.0724209331,0.9208025876,-6606946,0.0080626733,-0.079137436,30.88266597,0.6455861433,0.0404353002,0.0033567305,0.0122147418,0.0099868146,0.0528423063,0.0876994648,0.0387987741,,0.0403055757,0.0160133696,0.0527607791,,492.19337612,60.07683357,103.635664,57.801569787,0.2041678012,,0.1582437293,0.0169119923,0.0586285303,,819.89435897,141.58717949,675.90102564,0.0298895554,0.8243757482,0.6844502149,0.0608334433,0.024157416,0.0821998463,0.0385205271,,,81644,,,,81644,,,,,,4323,37586,41909,,,,,,,,,,,,,,,
2022/2023YE,4,654,21044145,20952733,0.004130819,-0.015009943,0.000899016,0.1725073679,1.7546624279,4130475,0.0243603809,,54.340988476,0.5958452689,0.1460537063,0.0093749888,0.0636718597,0.0073973824,0.0645715828,0.0353813384,0.0313185814,,0.0081540978,0.0028502103,0.0353809833,,236.37907364,47.543267231,88.303747019,51.06470313,0.191093582,,0.1303481597,0.0263076411,0.0757215004,,135.21179487,23.235897436,111.58102564,0.0134237123,0.8252314508,0.7063845895,0.0655331135,0.0424498489,0.0348423172,0.0391128457,4537,,,,426,9459,14422,,,,35.030136986,12786,,1732,14518,,,,,,,,,,,,,,,
2022/2023YE,4,655,13419794,14531737,-0.082415769,-0.082838055,-0.082838055,0.0955428973,2.7351030378,3006184,,-0.254683011,38.305311642,0.5628302396,0.1859241239,0.0167275473,0.0305657208,0.01615445,0.0649733825,0.0302153949,0.0330778205,,0.0101264487,,0.0494048718,,412.42513714,59.128105841,102.29467413,53.769860088,0.1437812744,,0.0998803506,0.0296621515,0.0690921081,,80.673333333,7.6066666667,73.066666667,0.0926687559,0.9057102719,0.6346425679,0.034172238,0.0255144441,0.0174517822,0.022005815,4909,,,1110,179,,6198,,,,28.621917808,10447,,24191,34638,,,,,,,,,,,,,,,
2022/2023YE,4,656,43204124,43461776,-0.00592279,-0.005876518,-0.005876518,0.0700104001,1.732432529,8264869,,,24.137219452,0.5062440998,0.1095691592,0.0293905882,0.0589531036,0.0510039541,0.0719418897,0.0595012844,0.0810793772,,0.0020068683,,0.0303096754,,497.13173555,41.375334389,109.99820369,48.772036666,0.1183666236,,0.1523892399,0.019630597,0.0802903354,,252.88974359,36.437435897,215.42717949,0.0334958138,0.8518620662,0.7193081214,0.0548816173,0.0480690012,0.0566587896,0.0503178288,18317,,,,,,18317,400,2988,3388,59.052054795,21554,1644,15967,39165,,,,,,,,,,,,,,,
2022/2023YE,4,661,194479885,186898879,0.0387002418,0.0376170332,0.0377201919,0.191418912,2.1019956957,53188014,,,33.084033766,0.5581501115,0.1229134981,0.0522924554,0.0384674122,0.0500848337,0.0634636423,0.0099360305,0.0389405915,,0.0049331027,,0.060818322,,690.78323934,38.314888557,101.5310574,51.62881231,0.0983290458,,0.1127425839,0.0241518911,0.0733623565,,1102.3533333,168.42153846,909.73230769,0.0349543379,0.8252638062,0.7740278914,0.0641833459,0.0479447266,0.0306771102,0.0435319804,47409,3491,7780,,,,58680,2290,19636,21926,123.19726027,44967,10768,58108,113843,,,,,,,,,,,,,,,
2022/2023YE,4,662,15619685,16714495,-0.06954955,-0.06934152,-0.069341586,0.0829799705,1.6891608836,1876705,,,122.21683198,0.656132565,0.0665988361,0.0113784908,0.0684981989,0.010082052,0.0463910444,0.0036882311,0.0732944239,,0.0067120539,,0.057224104,,428.26760091,70.934715113,104.46275135,56.277069246,0.1894741668,,0.1774975503,0.0330736169,0.0506727695,,107.84307692,17.074871795,90.768205128,0.0745004613,0.8416692821,0.6364599341,0.0485694244,0.0864399897,0.0696302256,0.0812996878,2573,,,,,9344,11917,,,,20.016438356,7306,,,7306,,,,,,,,,,,,,,,
2022/2023YE,4,663,30388123,29765294,0.0203158087,0.018943443,0.0199647629,0.0900360315,1.4018111105,2125897,,,59.620972418,0.5980201483,0.1654075532,0.025466754,0.0337216215,0.0188153731,0.0618164992,0.0252042331,0.0236588117,,0.0085684777,0.0014742566,0.0378462715,,576.74613796,58.243866171,98.322861723,52.55252411,0.1121749902,,0.1131078695,0.0338565578,0.0664323335,,179.39794872,32.204615385,145.98461538,0.0350103175,0.8137474059,0.7487999295,0.0489634165,0.0333071164,0.0324934305,0.0330483486,6629,1162,4314,,,,12105,129,1412,1541,42.945205479,15675,1559,11284,28518,,,,,,,,,,,,,,,
2022/2023YE,4,665,198537514,200511048,-0.009873711,-0.009928194,-0.009929329,0.0950849974,1.0663396025,4176411,,,24.683588732,0.5831370766,0.1298601547,0.0703037145,0.0456504528,0.0358125264,0.0652586454,0.0254496611,0.0154150741,,0.0051384006,,0.023974294,,685.63901063,34.927995686,105.37467767,53.643657611,0.0945672062,,0.088833474,0.0259653046,0.0697412069,,1140.4897436,170.58717949,964.69230769,0.0231932044,0.8458579423,0.6763861015,0.068773982,0.0444501156,0.0466245553,0.0451883994,69555,7375,,,,,76930,4088,16459,20547,155.85205479,56886,6071,74842,137799,,,,,,,,,,,,,,,
2022/2023YE,4,666,29490678,28748686,0.0219571273,0.0233179401,0.0243418577,0.2485919646,1.3895289815,8681284,0.1039839166,,4.031587653,0.645700295,0.035705586,0.014216626,0.0952596788,0.0126643791,0.039520561,0.0090720813,0.0721288781,,0.017948445,,0.0577834698,,315.04301706,46.674307036,70.066954952,47.494023089,0.1732116037,,0.1957781168,0.0163648074,0.0523661022,,251.95333333,28.671794872,219.33384615,0.0360268894,0.8705336153,0.7815448827,0.0492531371,0.0373652624,0.033719121,0.0362957344,,,,13266,24254,,37520,,,,,,,58,58,,,,,,,,,,,,,,,
2022/2023YE,4,674,673954272,675920778,-0.002901666,0.0271476735,0.02872569,0.1160234815,0.8509772567,-40271012,0.340054245,-0.177354152,14.066131635,0.6203646048,0.0672155645,0.0618569853,0.0726555851,0.023170025,0.0473819804,0.0443297333,0.030864054,,0.0036975666,0.0035174553,0.0249464458,,604.64776947,37.725412295,96.784795368,55.127674067,0.0866356552,,0.1067265896,0.0163259557,0.0534368435,,4073.8087179,501.12307692,3523.7651282,0.0496015051,0.8649805065,0.7615284229,0.0718465591,0.0449873282,0.030343833,0.0410199242,152451,11918,128158,5161,16523,,314211,7136,26595,33731,354.67123288,129455,93990,290823,514268,,,,,,,,,,,,,,,
2022/2023YE,4,676,23190970,23531491,-0.014585865,-0.014265898,-0.014265898,0.0726985547,0.8288605282,-611915,,-0.267151541,19.545027756,0.5391769162,0.1440925949,0.029483472,0.0583831074,0.015908511,0.0892106688,0.062231358,0.017201271,,0.0028879839,,0.0414241167,,497.39409155,48.701774872,107.87255592,51.75307078,0.1455973319,,0.1305619017,0.0370879561,0.092742772,,127.92205128,17.545128205,110.37692308,0.0028302492,0.8628451621,0.5389852152,0.0261856164,0.0172149545,0.0191533982,0.0180806676,8564,,,,,,8564,141,1529,1670,55.452054795,20240,3423,6510,30173,,,,,,,,,,,,,,,
2022/2023YE,4,680,5248247,5124840,0.0235139511,0.0235139467,0.0235139467,,2.2129530018,1747596,,,81.448880986,0.4685254441,,0.1353311071,0.2809979554,,0.0609098278,1.9512812E-7,,,,0.0431886823,0.0110467882,,,,140.34889771,65.757003971,0.0770426004,,0.3693953372,0.1807158858,0.060909804,,18.725641026,5.3338461538,13.391794872,,0.7151581542,,,,,,,,,,,,,,5390,5390,,,,,,,,,,,,,,,,,,,,
2022/2023YE,4,681,21370577,22239712,-0.040354142,-0.03861239,-0.03861239,0.1191847286,1.0486844276,221279,0.0065173488,,41.975925555,0.6417559433,0.0563312907,0.0220547085,0.063385773,0.0590281439,0.0671427302,0.0169719998,0.0299714111,,0.002563419,,0.0407945805,,565.50028681,83.85334608,92.589710414,54.761755393,0.1265387937,,0.1426573729,0.0168923601,0.075160078,,137.82,16.286666667,121.53333333,0.1306088581,0.881826537,0.6764257831,0.0397731739,0.0614507888,0.054870407,0.0598969837,4103,,,,6357,,10460,76,681,757,29.980821918,10943,240,3372,14555,,,,,,,,,,,,,,,
