timestamp,row_id,fac,run_mode,success,input_tokens,output_tokens,cost_usd,attempts
2026-04-02 19:05:22.122813,724_4,724,all,TRUE,1113,92,0.00472,1
2026-04-02 19:05:28.164845,726_1,726,all,TRUE,1254,136,0.0058,1
2026-04-02 19:05:33.71127,726_2,726,all,TRUE,1333,148,0.00622,1
2026-04-02 19:05:37.838892,726_3,726,all,TRUE,1216,119,0.00543,1
2026-04-02 19:05:42.666091,726_4,726,all,TRUE,1286,127,0.00576,1
2026-04-02 19:05:47.216224,734_1,734,all,TRUE,1146,121,0.00525,1
2026-04-02 19:05:49.18549,734_2,734,all,TRUE,1166,60,0.0044,1
2026-04-02 19:05:53.15598,734_3,734,all,TRUE,1199,115,0.00532,1
2026-04-02 19:05:56.899423,734_4,734,all,TRUE,1204,111,0.00528,1
2026-04-02 19:05:59.223347,734_5,734,all,TRUE,1176,59,0.00441,1
2026-04-02 19:06:02.577641,736_1,736,all,TRUE,1127,107,0.00499,1
2026-04-02 19:06:06.202442,736_2,736,all,TRUE,1143,115,0.00515,1
2026-04-02 19:06:10.274491,736_3,736,all,TRUE,1135,121,0.00522,1
2026-04-02 19:06:14.943815,736_4,736,all,TRUE,1143,124,0.00529,1
2026-04-02 19:06:18.843383,736_5,736,all,TRUE,1126,112,0.00506,1
2026-04-02 19:06:21.104878,736_6,736,all,TRUE,1110,60,0.00423,1
2026-04-02 19:06:25.465712,736_7,736,all,TRUE,1134,129,0.00534,1
2026-04-02 19:06:29.414651,736_8,736,all,TRUE,1128,106,0.00497,1
2026-04-02 19:06:33.008652,736_9,736,all,TRUE,1119,98,0.00483,1
2026-04-02 19:06:37.005513,736_10,736,all,TRUE,1147,123,0.00529,1
2026-04-02 19:06:40.923661,745_1,745,all,TRUE,1089,117,0.00502,1
2026-04-02 19:06:44.927592,745_2,745,all,TRUE,1097,119,0.00508,1
2026-04-02 19:06:51.151296,745_3,745,all,TRUE,1092,119,0.00506,1
2026-04-02 19:06:55.859708,751_1,751,all,TRUE,1255,125,0.00564,1
2026-04-02 19:06:59.978204,751_2,751,all,TRUE,1236,109,0.00534,1
2026-04-02 19:07:01.914045,751_3,751,all,TRUE,1224,60,0.00457,1
2026-04-02 19:07:06.067741,751_4,751,all,TRUE,1188,117,0.00532,1
2026-04-02 19:07:10.247149,751_5,751,all,TRUE,1234,117,0.00546,1
2026-04-02 19:07:15.081071,753_1,753,all,TRUE,1271,135,0.00584,1
2026-04-02 19:07:18.971987,753_2,753,all,TRUE,1198,120,0.00539,1
2026-04-02 19:07:23.332479,753_3,753,all,TRUE,1168,127,0.00541,1
2026-04-02 19:07:26.890041,753_4,753,all,TRUE,1198,122,0.00542,1
2026-04-02 19:07:30.418873,753_5,753,all,TRUE,1228,116,0.00542,1
2026-04-02 19:07:35.031949,763_1,763,all,TRUE,1156,141,0.00558,1
2026-04-02 19:07:39.248732,763_2,763,all,TRUE,1135,127,0.00531,1
2026-04-02 19:07:43.497574,763_3,763,all,TRUE,1172,121,0.00533,1
2026-04-02 19:07:47.724415,763_4,763,all,TRUE,1142,123,0.00527,1
2026-04-02 19:07:51.007272,763_5,763,all,TRUE,1111,104,0.00489,1
2026-04-02 19:07:54.881259,763_6,763,all,TRUE,1113,124,0.0052,1
2026-04-02 19:07:58.299236,763_7,763,all,TRUE,1121,109,0.005,1
2026-04-02 19:08:02.275582,768_1,768,all,TRUE,1139,117,0.00517,1
2026-04-02 19:08:06.266922,768_2,768,all,TRUE,1107,107,0.00493,1
2026-04-02 19:08:09.409955,768_3,768,all,TRUE,1090,88,0.00459,1
2026-04-02 19:08:11.726766,768_4,768,all,TRUE,1117,60,0.00425,1
2026-04-02 19:08:15.198477,771_1,771,all,TRUE,1143,107,0.00503,1
2026-04-02 19:08:18.519794,771_2,771,all,TRUE,1138,108,0.00503,1
2026-04-02 19:08:22.04992,771_3,771,all,TRUE,1127,103,0.00493,1
2026-04-02 19:08:26.214741,771_4,771,all,TRUE,1119,123,0.0052,1
2026-04-02 19:08:29.554738,771_5,771,all,TRUE,1104,103,0.00486,1
