fac,hospital_name,hospital_type,robots_allowed,base_url,hospital_type_group,cihi_peer_group,licensed_beds,n_directions,extraction_quality,plan_period_start,plan_period_end,plan_start_year,plan_period_parse_ok,has_vision,has_mission,has_values,has_purpose,source_type,extraction_date,has_extraction
862,TORONTO WOMENS COLLEGE,Teaching Hospital,TRUE,https://www.womenscollegehospital.ca,Teaching,NA,NA,3,full,NA,2030-01-01,NA,FALSE,TRUE,TRUE,TRUE,FALSE,pdf,2026-04-10,TRUE
881,STURGEON FALLS WEST NIPISSING,Small Hospital,TRUE,https://www.wngh.ca,Community — Small,NA,NA,5,partial,2024-01-01,2027-01-01,2024,TRUE,FALSE,FALSE,FALSE,FALSE,pdf,2026-03-27,TRUE
882,WINCHESTER DISTRICT MEMORIAL,Large Community Hospital,TRUE,https://www.wdmh.on.ca,Community — Large,NA,NA,4,full,2019-01-01,2024-01-01,2019,TRUE,FALSE,FALSE,FALSE,FALSE,pdf,2026-03-27,TRUE
888,NEW LISKEARD TEMISKAMING HOSPITAL,Small Hospital,TRUE,https://www.temiskaming-hospital.com,Community — Small,NA,NA,4,full,2022-01-01,2027-01-01,2022,TRUE,TRUE,TRUE,TRUE,FALSE,pdf,2026-03-27,TRUE
889,WINGHAM & DISTRICT,Small Hospital,TRUE,https://lwha.ca,Community — Small,NA,NA,5,partial,2025-01-01,2027-01-01,2025,TRUE,TRUE,TRUE,TRUE,TRUE,pdf,2026-03-27,TRUE
890,WOODSTOCK WOODSTOCK HOSPITAL,Large Community Hospital,TRUE,https://www.woodstockhospital.ca,Community — Large,NA,NA,4,full,2025-01-01,2028-01-01,2025,TRUE,TRUE,TRUE,TRUE,FALSE,pdf_image,2026-03-31,TRUE
896,RED LAKE MARG COCHENOUR MEMORIAL,Small Hospital,TRUE,https://www.redlakehospital.ca,Community — Small,NA,NA,4,full,2024-01-01,2027-01-01,2024,TRUE,TRUE,TRUE,FALSE,FALSE,pdf,2026-03-27,TRUE
900,FORT FRANCES RIVERSIDE HEALTH CARE,Small Hospital,TRUE,https://riversidehealthcare.ca,Community — Small,NA,NA,4,thin,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,txt,2026-03-28,TRUE
905,OAK VALLEY HEALTH,Large Community Hospital,TRUE,https://www.oakvalleyhealth.ca,Community — Large,NA,NA,3,full,2024-01-01,2029-01-01,2024,TRUE,TRUE,TRUE,TRUE,FALSE,pdf,2026-03-27,TRUE
907,TIMMINS & DISTRICT GENERAL,Large Community Hospital,TRUE,https://tadh.com,Community — Large,NA,NA,5,full,2022-01-01,2027-01-01,2022,TRUE,TRUE,TRUE,TRUE,FALSE,pdf_image,2026-03-31,TRUE
